Symbol,Name,Sector,Industry,Full_Time_Employees,Total_ESG_Risk_score,Environment_Risk_Score,Governance_Risk_Score,Social_Risk_Score,Controversy_Level,Controversy_Score,ESG_Risk_Percentile,ESG_Risk_Level,Controversy_Level_Score,ESG_Cluster,PCA1,PCA2
VRSN,Verisign Inc,Technology,Software - Infrastructure,907.0,21.3,4.7,5.8,10.8,Low Controversy Level,1.0,33.0,Medium,1.0,0,-0.6581341159654891,-0.3523934842458394
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,9886.0,32.6,20.1,5.0,7.4,Moderate Controversy Level,2.0,77.0,High,2.0,2,-0.8676158727497097,2.513621259995529
UHS,"Universal Health Services, Inc. Class B",Healthcare,Medical Care Facilities,96700.0,33.0,3.7,8.6,20.7,Significant Controversy Level,3.0,78.0,High,3.0,1,3.1850604765082453,0.1161023515842287
UNH,Unitedhealth Group Incorporated,Healthcare,Healthcare Plans,440000.0,15.3,0.0,5.6,9.7,Significant Controversy Level,3.0,12.0,Low,3.0,1,0.5386436019667468,-0.17224838838421508
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,26650.0,16.9,5.3,5.4,6.1,Low Controversy Level,1.0,17.0,Low,1.0,0,-1.6032921791801609,-0.3289570084457537
UPS,"United Parcel Service, Inc. Class B",Industrials,Integrated Freight & Logistics,500000.0,18.6,4.2,5.5,8.9,Moderate Controversy Level,2.0,23.0,Low,2.0,0,-0.36325714027580014,0.01961529990279796
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,104500.0,28.6,10.8,5.0,12.8,Moderate Controversy Level,2.0,64.0,Medium,2.0,2,0.17747964142208147,1.2648800612894355
UNP,Union Pacific Corp.,Industrials,Railroads,31052.0,23.5,7.3,5.6,10.6,Moderate Controversy Level,2.0,42.0,Medium,2.0,2,-0.05642518765651041,0.528974686476906
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,20000.0,15.6,4.1,4.3,7.3,Moderate Controversy Level,2.0,13.0,Low,2.0,0,-0.9263015554094777,0.20726692533529179
UDR,"Udr, Inc.",Real Estate,REIT - Residential,1397.0,13.9,3.7,6.3,3.9,Low Controversy Level,1.0,9.0,Low,1.0,0,-1.7827199012381607,-0.837505025326814
USB,U.S. Bancorp,Financial Services,Banks - Regional,70000.0,30.3,1.8,13.0,15.5,Significant Controversy Level,3.0,70.0,High,3.0,1,3.2672272167696867,-1.280992131719434
